From,To,length(in meters)
6656,6692,4.807
6671,6693,2.26
6688,6697,4.188
6670,6698,3.141
6693,6700,2.009
6697,6700,4.674
6653,6705,4.831
6680,6708,3.145
6687,6717,3.891
6698,6722,3.332
6708,6738,2.67
6692,6742,5.987
6722,6745,2.861
6717,6749,2.401
6738,6756,2.908
6749,6766,2.232
6745,6771,3.488
6705,6775,6.92
6756,6776,3.301
6742,6785,6.293
6771,6786,2.209
6766,6789,3.086
6776,6790,4.587
6790,6807,3.155
6789,6809,2.521
6786,6810,2.939
6807,6830,2.484
6809,6831,1.721
6785,6833,5.861
6810,6843,3.098
6775,6845,8.065
6831,6850,2.458
6843,6866,3.543
6830,6868,5.331
6833,6870,5.593
6850,6872,3.711
6872,6882,2.024
6866,6891,4.041
6868,6904,5.144
6891,6912,1.884
6870,6915,5.419
6912,6960,4.019
6915,6978,5.174
6904,6980,5.924
6978,6985,2.555
6882,6986,9.081
6978,6991,2.554
6960,6994,3.569
6908,6997,7.781
7156,7005,10.598
6958,7005,12.627
6985,7006,2.556
6991,7016,2.555
6994,7025,2.986
6980,7029,4.656
7006,7039,2.549
7025,7041,1.125
7016,7050,2.552
7041,7059,1.407
7054,7061,2.612
7039,7066,2.554
6986,7067,6.272
7058,7067,5.397
7066,7069,1.169
7054,7070,1.846
7050,7071,2.55
7069,7071,1.384
7041,7077,3.793
7061,7078,2.863
6997,7083,6.576
7005,7083,16.228
7156,7087,11.988
7189,7087,7.327
6958,7087,10.731
7067,7093,15.381
7078,7094,3.017
7070,7095,2.874
7050,7100,4.937
7077,7102,3.544
7094,7106,3.187
7029,7125,7.079
7083,7128,4.626
7102,7130,3.378
7106,7132,1.968
7095,7133,5.054
7130,7140,1.823
7133,7140,1.954
7125,7141,0.837
7141,7142,0.913
7059,7147,5.962
7132,7153,2.236
7142,7153,1.932
7100,7152,3.985
7069,7155,5.687
7067,7181,7.875
7152,7187,3.533
7141,7195,4.845
7147,7196,4.527
7155,7197,4.155
7156,7207,14.193
7083,7207,9.323
7197,7222,2.81
7187,7226,4.097
7128,7230,23.176
7195,7231,4.242
7225,7234,7.189
7196,7236,4.271
7234,7236,2.679
7236,7239,2.001
7156,7240,8.329
7189,7240,12.106
7239,7243,2.229
7243,7246,1.703
7246,7248,4.704
7248,7252,6.929
7222,7253,4.553
7252,7257,4.293
7226,7259,3.848
7058,7261,17.439
7231,7262,4.166
7257,7268,2.784
7262,7277,4.13
7253,7278,4.507
7268,7280,2.958
7259,7283,3.928
7351,7286,6.426
7207,7286,10.174
7240,7286,13.185
7286,7291,3.575
7181,7297,14.549
7243,7304,8.026
7277,7307,4.071
7280,7307,3.925
7291,7310,6.273
7230,7315,23.288
7278,7320,6.138
7297,7339,4.706
7307,7354,4.354
7304,7357,4.704
7162,7363,23.907
7273,7363,13.756
7283,7366,8.369
7320,7368,7.377
7310,7370,16.875
7368,7382,2.986
7261,7387,13.997
7363,7389,3.685
7382,7393,3.621
7354,7397,5.47
7393,7398,3.091
7398,7402,3.426
7315,7404,21.76
7366,7404,4.695
7388,7406,5.115
7357,7409,6.978
7402,7413,6.589
7413,7429,6.647
7397,7438,4.845
7409,7444,3.418
7429,7444,4.485
7441,7457,3.075
7452,7458,4.911
7461,7463,3.48
7458,7474,5.845
7474,7483,5.018
7444,7481,5.078
7438,7486,3.97
7483,7496,9.095
7387,7498,13.383
7481,7503,6.97
7496,7508,7.158
7503,7517,3.738
7486,7520,5.654
7517,7520,4.976
7508,7526,5.848
7498,7525,3.754
7526,7525,6.804
7525,7528,4.572
7528,7531,7.029
7531,7534,3.314
7534,7548,3.646
7520,7554,5.828
7554,7556,4.774
7404,7559,43.091
7554,7562,2.091
7556,7565,4.159
7370,7564,63.185
7548,7569,4.112
7565,7582,3.837
7569,7582,5.378
7562,7590,3.15
7611,7596,6.085
7592,7597,1.544
7614,7597,8.795
7525,7597,7.562
7590,7601,2.109
7559,7603,9.358
7601,7610,2.443
7603,7613,5.677
7613,7617,4.33
7617,7623,7.002
7623,7627,4.511
7610,7629,3.846
7627,7629,5.635
7629,7630,4.804
7661,7660,0.571
7658,7660,5.381
7630,7660,5.186
7668,7686,9.094
7686,7698,4.491
7703,7700,6.772
7698,7700,4.578
7703,7706,4.082
7710,7706,2.7
7660,7706,7.63
7700,7742,14.192
8225,8199,4.559
8571,8582,1.563
9108,8896,23.618
8752,8896,13.332
9368,9356,16.704
9356,9357,10.428
9108,9367,22.773
9578,9367,21.997
9368,9367,12.961
9624,9620,16.501
9621,9625,1.984
9624,9691,8.204
9620,9648,3.692
9639,9651,1.761
9800,9711,10.448
9660,9711,6.146
9691,9700,2.431
9783,9797,1.802
9797,9815,2.05
9855,9886,2.235
9914,9886,2.111
9850,9886,8.675
9886,9901,3.123
10030,10082,4.05
10082,10141,8.54
10141,10144,1.686
10144,10151,2.137
10152,10153,2.089
10152,10154,2.268
10151,10156,1.593
10154,10164,3.796
10156,10165,1.315
10153,10166,4.112
10165,10169,1.862
10166,10169,2.566
10164,10176,2.333
10176,10189,2.176
10189,10203,2.043
10203,10209,2.351
10236,10213,6.129
10147,10213,9.714
10209,10213,2.833
10369,10239,17.236
10125,10239,20.346
10527,10567,8.779
10541,10567,4.555
10702,10651,8.354
10574,10651,10.348
10816,10882,16.78
10815,10943,12.56
10943,10944,0.812
10986,10980,1.551
11010,10985,6.937
10951,10985,7.697
10980,10993,1.854
10993,11023,4.089
11031,11039,2.538
11023,11052,3.514
11039,11065,3.647
11052,11079,4.055
11079,11105,3.293
11065,11109,6.123
11105,11122,3.507
11063,11123,10.746
11122,11145,4.464
11109,11157,6.069
11145,11162,5.464
11157,11198,4.251
11162,11204,14.149
11198,11227,4.956
11123,11228,15.756
11204,11228,11.203
11227,11276,9.551
11276,11309,5.466
11399,11350,8.234
11228,11350,14.199
11309,11352,5.363
11399,11375,2.368
11352,11375,3.056
11735,11576,37.23
11399,11576,10.963
11666,11576,11.46
11735,12006,65.596
12027,12006,3.398
12308,12073,40.274
11813,12073,49.958
12006,12073,6.236
12426,12382,8.793
12226,12382,30.617
12402,12471,12.08
12653,12471,28.505
12382,12471,10.699
12308,12526,41.628
12471,12526,6.96
12898,12695,19.481
12526,12695,18.3
12810,12804,14.663
12762,12804,16.128
12799,12820,33.06
12816,12820,13.752
12999,12820,15.732
13063,13208,5.815
13026,13254,8.773
13259,13254,9.221
13254,13252,19.599
13208,13441,17.963
13604,13605,2.648
8882,8893,5.138
8882,8919,7.675
8893,8923,4.457
8919,8944,4.305
8923,8951,4.14
8944,8982,5.655
8951,8990,5.851
8982,9013,3.552
8990,9025,3.822
9044,9039,9.697
9013,9039,5.774
9025,9151,17.671
9151,9209,5.937
9209,9278,6.806
9278,9327,4.912
9327,9358,3.774
9358,9421,4.877
9421,9486,7.647
9486,9540,5.758
9540,9563,4.28
9563,9588,4.609
9588,9626,4.363
9626,9672,6.622
9672,9702,5.062
9702,9729,4.77
9729,9766,4.688
9766,9807,3.995
9807,9894,7.192
9894,9932,3.172
9932,9960,4.538
9974,9987,1.936
9960,9988,4.903
9987,10004,3.327
9988,10007,2.743
9974,10011,11.29
10007,10035,4.505
10011,10039,7.448
10035,10039,3.926
10004,10047,3.362
10047,10088,3.863
10088,10111,2.377
10111,10124,2.991
10124,10140,3.408
10140,10158,6.814
10158,10177,2.641
10177,10212,7.398
10212,10233,6.191
10233,10263,5.129
12800,12761,12.431
12808,12770,16.439
12800,12770,38.996
12776,12797,4.757
12790,12788,15.376
12797,12788,49.954
12790,12801,41.888
12808,12801,61.601
12776,12775,10.215
12885,12853,149.683
12918,12917,9.055
12918,12919,3.538
12664,12919,10.719
12775,12935,8.786
12948,12941,16.44
12935,12941,46.571
12948,12946,1.798
12788,12946,8.667
10255,10266,6.687
10255,10269,6.937
10263,10269,3.691
10307,10312,1.128
10307,10323,6.297
10266,10325,15.311
10312,10326,5.293
10325,10326,5.899
10323,10358,8.164
10358,10400,7.724
10400,10428,9.639
10432,10445,6.39
10432,10449,5.903
10445,10465,6.748
10428,10468,7.102
10465,10480,4.405
10449,10488,5.081
10480,10503,3.603
10468,10510,5.364
10503,10524,3.153
10524,10546,2.563
10488,10548,7.783
10510,10556,6.246
10546,10559,2.013
10548,10585,5.198
10559,10598,3.638
10556,10604,6.858
10585,10630,5.042
10598,10638,4.972
10604,10661,8.245
10638,10663,3.38
10663,10686,3.269
10630,10698,7.438
10686,10724,5.818
10630,10726,17.609
10724,10756,4.486
10756,10765,2.655
10661,10767,10.702
10767,10768,6.787
10726,10769,7.531
10768,10795,5.394
10698,10800,10.115
10765,10808,5.038
10769,10844,8.558
10808,10855,4.17
10800,10864,6.297
10795,10868,8.775
10855,10910,5.535
10835,10957,15.791
10844,10968,14.308
10910,10972,5.939
10868,10977,12.321
10977,10987,6.172
10864,10988,12.779
10972,10999,4.536
10968,11018,8.116
10988,11034,5.672
10999,11038,4.568
11035,11042,6.083
11035,11045,5.05
11045,11053,6.132
11038,11057,5.717
11053,11059,9.813
10987,11061,10.146
11042,11060,4.971
11034,11070,5.288
10957,11069,21.683
11059,11072,4.733
11060,11073,7.225
11073,11081,7.062
11068,11080,6.611
11072,11080,3.988
11068,11084,7.47
11081,11096,5.285
11057,11104,9.142
11061,11108,7.594
11096,11110,4.45
11084,11118,6.264
11104,11125,8.194
11118,11125,4.915
11110,11126,3.537
11108,11129,4.468
11070,11128,7.103
11018,11136,14.827
11126,11154,6.213
11129,11154,5.305
11069,11189,19.442
11128,11213,7.32
11189,11237,11.157
11213,11260,3.681
11189,11289,12.028
11260,11302,3.316
11302,11357,3.28
11237,11359,16.005
11136,11364,16.401
11357,11421,3.989
11289,11449,11.694
11421,11484,3.708
11359,11491,13.81
11364,11585,12.166
11484,11591,5.796
11572,11594,5.202
11572,11597,3.498
11449,11603,8.775
11591,11618,2.525
11618,11622,3.218
11594,11621,4.179
11622,11621,5.779
11491,11657,24.761
11597,11659,7.372
11657,11667,4.284
11585,11669,9.642
11669,11672,3.064
11669,11680,3.393
11659,11684,5.294
11672,11690,6.219
11680,11696,3.722
11667,11702,8.886
11690,11713,4.414
11603,11714,14.952
11684,11722,5.93
11713,11722,3.234
11696,11728,4.891
11722,11738,3.473
11738,11755,2.878
11728,11760,5.393
11760,11764,4.738
11702,11763,11.777
11755,11768,3.269
11764,11769,7.468
11763,11769,3.013
11768,11773,2.856
11760,11781,11.765
11773,11781,2.386
11773,11791,3.312
11781,11791,2.43
11714,11792,14.76
11791,11812,5.847
11812,11835,2.777
11792,11850,9.545
11835,11860,3.705
11860,11900,5.171
11850,11919,8.356
11900,11924,3.887
11924,11953,3.409
11953,12010,7.586
12010,12024,2.359
11919,12054,13.895
12024,12066,3.606
12066,12095,2.347
12095,12103,1.057
12004,12121,10.276
12103,12129,3.098
12129,12148,3.045
12054,12165,11.695
12148,12197,5.061
12121,12204,8.781
12197,12241,4.115
12204,12262,6.388
12241,12268,2.78
12268,12293,2.388
12165,12298,12.716
12293,12318,3.172
12262,12352,10.524
12298,12364,7.342
12318,12373,7.849
12373,12400,4.301
12364,12425,7.252
12352,12430,10.344
12400,12442,4.267
12664,12444,16.846
12442,12476,4.137
12430,12502,8.245
12476,12510,3.949
12425,12516,12.237
12502,12558,9.848
12510,12581,5.182
12581,12582,7.741
12581,12592,35.373
12516,12605,7.753
12853,12623,10.241
12761,12648,7.179
12558,12648,11.062
12788,12672,3.395
12801,12675,3.858
12645,12675,1.759
12800,12671,7.587
12605,12671,5.631
12801,12955,8.386
12946,12955,59.185
12999,12988,24.673
12955,12988,152.019
12853,13036,6.594
13050,13054,6.185
12935,13149,6.291
13050,13157,3.336
13157,13161,6.186
13248,13191,9.788
12988,13197,6.663
13197,13531,29.462
18224,18173,5.214
3928,4029,48.647
4074,4029,22.109
5004,5139,8.428
5385,5139,23.035
5006,5361,27.156
7615,7722,21.208
7847,7722,27.647
12919,12932,93.397
12935,12932,11.095
13126,13125,7.074
13125,13136,18.508
13136,13145,11.788
13164,13162,8.109
13105,13188,6.022
13164,13215,42.402
13188,13234,3.005
13248,13240,33.888
13215,13240,67.215
13149,13271,8.727
13162,13328,11.748
13240,13335,8.593
13329,13348,2.551
13125,13371,15.82
13335,13412,6.481
13328,13432,8.805
13396,13453,9.025
13412,13467,5.079
13453,13490,7.145
13371,13488,10.753
13234,13398,16.866
13398,13538,18.894
13467,13547,10.607
16008,16106,6.124
16089,16151,7.031
16106,16192,6.798
16147,16230,16.677
16121,16230,9.335
16192,16234,3.102
16299,16351,3.669
16234,16346,8.885
16230,16377,13.788
16351,16374,2.702
16379,16393,3.319
16393,16402,3.947
16396,16401,7.594
16396,16405,3.881
16402,16407,3.791
16401,16407,3.459
16374,16411,4.395
16405,16418,3.298
16346,16426,8.487
16377,16435,7.202
16418,16448,3.27
16411,16479,5.938
16426,16464,3.549
16448,16485,4.461
16435,16502,7.535
13526,13556,4.513
13490,13558,16.952
13547,13565,3.149
13538,13594,9.853
13556,13595,6.479
13595,13606,3.302
13594,13608,4.654
13606,13627,4.326
13565,13628,10.541
13608,13622,4.434
13624,13622,6.496
13624,13638,30.054
13628,13665,4.312
13627,13672,7.225
13667,13675,4.923
13622,13678,7.299
13667,13696,10.761
13638,13699,14.941
13672,13712,6.69
13678,13711,4.497
13488,13715,32.414
13675,13717,6.212
13665,13732,7.221
13711,13752,4.571
13712,13755,5.586
13696,13757,13.537
13699,13757,8.944
13715,13772,5.261
13757,13787,3.954
13717,13791,7.504
13752,13813,5.609
13755,13842,8.399
13801,13852,3.561
13731,13866,15.511
13787,13860,6.294
13791,13863,6.341
13813,13920,7.113
13805,13922,9.528
13842,13949,7.817
13863,13950,5.721
13920,13961,3.229
13949,14052,5.299
13961,14065,5.711
13950,14096,8.812
13922,14108,13.094
14052,14137,5.354
14041,14100,4.108
13860,14152,15.649
14065,14181,7.95
13772,14196,23.752
14096,14209,5.674
14137,14211,4.79
14181,14301,6.178
13732,14298,32.748
14152,14311,7.277
14253,14340,2.64
14335,14341,3.355
14209,14356,6.924
14169,14397,10.281
14455,14397,3.334
14356,14397,6.222
14340,14422,3.964
14108,14415,15.712
14301,14440,7.73
14335,14444,5.674
14341,14445,5.674
14444,14445,3.355
14320,14459,8.414
14311,14462,8.602
14422,14496,5.454
14483,14532,6.977
14462,14605,10.412
14440,14588,10.703
14532,14616,8.437
14298,14668,20.047
14605,14700,8.024
14588,14722,9.193
14722,14776,4.1
14496,14844,21.31
14776,14832,2.53
14700,14867,13.3
14866,14931,9.723
14959,14931,2.577
14832,14931,5.955
14668,14926,14.739
14771,14952,10.825
14844,15030,11.092
15030,15151,8.227
14926,15156,13.747
15151,15179,4.493
15179,15212,3.612
15212,15255,3.677
15255,15315,4.435
15156,15375,17.718
15136,15407,20.976
15315,15422,6.561
15375,15489,7.049
15422,15506,5.722
15506,15552,3.475
15307,15583,18.042
15489,15600,9.631
16008,15760,14.577
15552,15760,11.234
16089,15793,20.902
15600,15793,11.025
15730,15883,8.343
16299,15921,26.465
15583,15921,18.326
15857,15954,6.516
16121,15954,10.116
19078,19090,6.077
19059,19100,3.29
16195,16524,29.863
16485,16526,4.17
16479,16517,4.516
16502,16591,7.776
16526,16585,3.719
16517,16607,5.44
16585,16618,3.52
16594,16620,2.745
16607,16646,3.34
16618,16659,3.931
16620,16664,4.503
16646,16671,3.465
16591,16734,16.251
16664,16695,3.091
16659,16713,6.088
16671,16762,7.698
16713,16761,3.844
16761,16827,5.801
16762,16833,6.157
16827,16865,4.959
16695,16899,18.315
16919,16950,2.228
16950,16965,1.935
16865,16969,8.315
17049,16993,7.169
16969,17059,5.611
17095,17117,6.398
16899,17136,14.91
17117,17162,26.801
17059,17168,6.449
17168,17237,3.242
17237,17303,4.845
17136,17310,11.317
17310,17364,2.392
17303,17411,6.161
17364,17416,3.874
17416,17435,1.722
17435,17442,2.267
17411,17447,3.618
17442,17457,2.898
17406,17458,16.23
17612,17469,31.89
17519,17490,8.336
17458,17490,7.952
17261,17503,15.775
17447,17523,4.579
17685,17578,10.708
17519,17545,7.092
17416,17545,7.571
17559,17563,20.247
17548,17557,11.119
17523,17573,4.238
17459,17568,6.564
17573,17614,3.785
17545,17613,5.117
17614,17647,5.201
17647,17670,2.973
17670,17682,1.206
17670,17704,6.076
17682,17705,3.457
17705,17730,3.451
17704,17771,7.889
17730,17797,8.23
17568,17806,23.384
17797,17822,3.747
17771,17825,5.775
17822,17851,4.834
17735,17816,7.4
17851,17898,6.68
17840,17872,8.915
17898,17926,4.485
17806,17947,13.031
17926,17956,5.432
17872,17975,18.045
18003,17968,5.291
17956,17977,3.667
17977,18016,6.074
18049,18033,2.116
18003,18033,5.189
18016,18052,5.409
17947,18083,12.72
17975,18086,15.64
18091,18087,18.653
18052,18087,3.227
18086,18087,21.405
18285,18188,7.85
18165,18188,6.052
18188,18210,5.371
18221,18216,49.509
18127,18216,7.161
18213,18216,29.166
18285,18299,2.611
18210,18299,7.49
18273,18278,4.257
18197,18295,7.451
18415,18295,4.793
18295,18301,105.084
18301,18316,81.226
18271,18330,5.812
18316,18329,49.096
18083,18362,18.537
18232,18365,7.606
18329,18374,17.69
18323,18396,3.272
18391,18429,20.79
18374,18430,21.107
18349,18438,13.282
18429,18444,22.46
19703,18456,77.861
18444,18462,19.383
17737,18465,55.225
18470,18465,20.671
18462,18484,19.185
18362,18490,7.746
18456,18490,6.729
18438,18488,10.518
18673,18703,6.488
18595,18742,9.417
18593,18706,16.935
18685,18719,13.084
18703,18722,14.566
18719,18722,6.796
12546,12548,17.938
13434,13375,4.911
2763,2764,21.708
2763,2769,24.667
2764,2770,23.444
2733,2772,8.351
2829,2772,11.309
2769,2772,10.43
2770,2777,16.959
2772,2781,23.213
2801,2795,12.013
2777,2795,28.113
2781,2806,36.507
2801,2820,21.178
2806,2823,28.414
2823,2853,30.306
2820,2868,27.305
2853,2893,53.943
2868,2915,27.966
2853,2923,11.276
2893,2942,52.633
2923,2981,10.327
2915,2992,41.899
2981,3010,7.252
2982,3031,9.694
3055,3031,4.967
2992,3031,25.746
3010,3048,6.759
3105,3061,6.156
3046,3061,4.197
3061,3073,6.846
3073,3091,7.889
3031,3110,48.756
3091,3115,6.597
3048,3119,13.911
3115,3149,5.803
3149,3176,3.791
3119,3209,13.526
3110,3264,81.744
3209,3273,10.801
3227,3277,26.963
3293,3277,5.6
3176,3277,16.714
3273,3318,11.195
3318,3338,4.166
3338,3379,6.557
3264,3391,79.941
3379,3423,5.409
3456,3466,5.471
3575,3470,10.195
3423,3470,7.583
3456,3472,6.298
3466,3481,4.975
3481,3505,4.555
3391,3510,45.454
3575,3559,3.526
3505,3559,7.564
3472,3562,22.543
3559,3579,10.596
3562,3595,7.127
3579,3630,11.875
3575,3638,11.753
3638,3646,1.498
3630,3655,6.75
3706,3679,4.078
3655,3679,3.185
3718,3687,9.684
3646,3687,10.426
3706,3705,5.084
3705,3715,4.985
3715,3741,6.558
4035,4015,10.286
3981,4015,25.142
5281,5422,29.413
5592,5432,26.827
5422,5432,16.698
5422,5543,14.437
5543,5608,6.125
5608,5665,5.3
5592,5714,18.414
5909,5714,27.155
5704,5714,15.44
5665,5717,4.907
5704,5742,9.655
5717,5748,2.794
5742,5764,7.134
5748,5764,2.937
6996,6116,233.232
7564,7598,2.488
7668,7598,35.708
8076,8042,4.817
7813,8056,38.072
8070,8056,6.718
8088,8056,4.615
8042,8056,7.754
8076,8105,5.577
8278,8388,86.171
8355,8401,7.591
8388,8428,6.061
8503,8457,5.214
8401,8457,4.237
8428,8458,6.922
8519,8484,13.246
8458,8484,5.482
24358,24362,14.579
24677,24689,6.898
24689,24693,5.957
24677,24775,41.656
24815,24775,9.185
24815,24830,158.471
24833,24830,46.993
24840,24837,25.542
24833,24841,94.649
24815,24850,9.663
11818,11796,6.598
11727,11796,12.821
1255,1205,13.021
1206,1205,19.032
1255,1333,26.943
2450,2523,13.466
2567,2568,7.281
2523,2572,9.262
2568,2572,16.899
2572,2573,8.356
2573,2582,22.836
2582,2608,13.77
2608,2614,41.648
2614,2654,6.782
2654,2712,12.638
2712,2719,43.433
2712,2812,20.539
2812,2814,43.874
2812,2864,7.975
2864,2887,5.912
2897,2900,27.038
2567,2908,64.686
2900,2908,22.646
2887,2912,15.374
2897,2912,41.283
11977,12183,20.209
12389,12280,12.843
12185,12280,8.851
12280,12284,6.601
12556,12375,18.448
12271,12440,18.236
12445,12440,68.316
12718,12536,9.407
12527,12536,10.126
12554,12536,12.877
12718,12717,9.761
12527,12717,10.157
13016,12717,12.236
12872,12894,44.992
12895,12899,39.372
12899,12912,44.331
12934,12933,9.8
12912,12916,3.617
12718,12977,11.6
13016,12977,8.922
12933,12930,27.195
13510,13523,6.894
13484,13519,5.379
13523,13634,22.764
13610,13630,4.415
13634,13726,14.751
13726,13767,6.474
13767,13802,4.865
13754,13822,9.716
13802,13843,6.502
13844,13843,6.253
13822,13884,4.725
13884,13883,7.683
13884,13886,8.891
14138,14142,15.994
14574,14627,6.293
24455,24458,102.104
7275,7359,8.791
7495,7359,18.265
3669,4249,82.701
4838,4488,45.746
4249,4488,32.337
4440,4192,32.305
3885,3696,22.662
3696,3689,20.885
3885,3874,21.626
3689,3874,21.64
5922,5933,38.403
5933,5929,22.278
1967,1961,5.339
18463,18603,11.102
18708,18603,6.903
18952,18951,2.967
18992,18789,9.563
18992,18988,9.174
19087,18988,7.892
18795,18988,9.151
18992,18998,8.66
19082,18998,7.262
18789,18827,8.746
18998,18827,8.262
19090,19093,5.983
19087,19093,2.448
18191,18185,53.52
18067,18185,8.409
18195,18185,7.082
18273,18185,7.423
18319,18539,17.815
18634,18276,17.58
18273,18276,36.5
18276,18283,38.378
18283,18284,13.317
18742,18849,9.019
18973,18958,144.261
18061,17945,11.454
18803,18799,7.925
18958,18799,7.829
18799,18793,7.819
18796,18790,25.813
18764,18736,3.65
18669,18629,3.754
18669,18701,3.046
18139,18209,12.406
18244,18209,2.818
18148,18209,4.86
17605,17674,7.537
17732,17731,19.764
17605,17627,7.55
16900,17660,50.006
17787,17660,12.405
17664,17660,2.405
17656,17660,1.597
19066,19063,3.75
18945,19063,8.219
19063,19592,37.385
19592,20432,62.169
20432,20722,29.556
20417,20753,35.271
19057,19058,3.76
19063,19058,16.276
18945,18941,16.361
19058,18941,8.095
19434,19126,22.348
20111,20435,28.478
21791,21485,19.17
18916,19038,7.288
19037,19038,6.736
19126,19038,7.128
19036,19038,7.345
17795,17794,9.345
17787,17794,31.653
17883,17794,8.58
17714,17794,6.409
20806,20853,7.285
18559,18109,32.527
18731,18300,20.33
18952,18950,3.769
18945,18950,41.12
19066,19069,37.67
18950,19069,8.196
19208,19212,55.769
20752,20743,44.193
20728,20743,2.035
20743,20772,2.78
20772,20790,2.744
21578,21632,2.579
21684,21716,2.653
21716,21741,2.349
21741,21780,4.389
21389,21482,2.612
21305,21388,5.057
21526,21388,4.758
21375,21312,4.026
17979,17767,18.904
17405,17767,30.623
17918,17767,25.723
17767,17648,22.24
17767,17773,34.843
17404,17778,32.171
17817,17778,4.02
17773,17778,2.026
18546,18476,3.464
17939,17943,21.058
10388,10391,22.863
10391,10491,12.501
12012,12238,21.296
12621,12238,36.134
17833,17958,11.965
17958,17959,4.194
17978,17988,2.188
18793,18794,26.768
18801,18794,11.134
18950,18794,7.672
16934,17200,16.736
17676,17200,32.827
20449,20448,4.03
20448,20331,24.398
19881,20260,24.764
20449,20260,19.55
19881,19884,3.837
19884,20203,27.889
20448,20443,27.05
20598,20673,7.195
20598,20595,7.432
20598,20600,6.997
20598,20533,6.027
20600,20651,5.682
20591,20691,9.055
20691,20687,47.467
12874,12883,36.397
12883,12897,39.248
12897,12961,8.368
12954,12961,29.14
12912,13052,5.439
12874,13221,24.771
13222,13268,4.063
12895,13306,17.27
12883,13313,18.536
13306,13474,14.757
13221,13425,15.537
13353,13394,6.297
13394,13436,5.319
13482,13503,3.916
13503,13525,6.317
13500,13551,7.139
13425,13544,16.884
13522,13527,8.014
13525,13568,6.291
13568,13591,4.363
13591,13612,4.507
13614,13655,6.043
13612,13676,8.603
13544,13917,39.875
13917,13954,5.247
13917,14499,28.881
14558,14556,8.012
14499,14555,3.925
14556,14555,2.764
14987,14554,23.285
14555,14554,6.465
15532,15580,10.511
15608,15580,6.86
15477,15580,6.916
15608,15716,5.738
15722,15716,6.601
15580,15713,7.54
15716,15713,6.755
16535,16529,60.496
5375,5370,30.398
5391,5370,6.628
4738,5597,72.418
5633,5597,2.867
5845,5885,8.059
5945,5885,17.208
23304,23316,17.367
23457,23316,10.13
23318,23316,84.11
23457,23470,9.801
23478,23470,7.563
23458,23477,10.863
23478,23477,7.151
23474,23517,2.685
23457,23552,2.658
23477,23581,3.216
23481,23580,3.398
23467,23641,7.493
23580,23654,5.487
23517,23657,7.216
23485,23672,10.604
23672,23737,12.646
23811,23813,17.143
23552,23813,42.689
23814,23815,4.339
23737,23815,21.494
23813,23815,85.211
23815,24081,44.156
24081,24093,8.029
24093,24095,2.425
24095,24096,2.131
24096,24102,1.593
24102,24105,1.394
24105,24112,1.783
24043,24113,25.653
24112,24118,2.272
23970,24133,44.645
24113,24210,39.534
24055,24265,78.086
24133,24285,60.525
24210,24290,37.46
24265,24292,23.907
24290,24293,2.864
24292,24295,3.587
24293,24296,2.094
24295,24299,3.79
24296,24299,77.252
24303,24304,14.969
24312,24305,6.018
24301,24305,43.221
24306,24310,68.862
24311,24310,4.281
24008,24310,114.086
24311,24316,85.933
24317,24316,9.848
24317,24319,102.407
24323,24319,4.9
24275,24319,30.613
24323,24322,5.334
24321,24322,93.366
24285,24322,19.7
24310,24341,8.045
24319,24422,45.135
24322,24436,56.061
24462,24460,5.984
24458,24460,1.719
24422,24460,22.807
24467,24463,126.679
24462,24463,4.687
24436,24463,15.403
24463,24511,25.364
24460,24532,43.088
24563,24537,10.754
24442,24537,54.22
24563,24560,98.035
24559,24560,4.571
24341,24560,118.28
24563,24568,28.982
24511,24572,30.336
24606,24604,4.989
24600,24604,30.476
24572,24604,11.258
24560,24613,19.384
24563,24615,19.29
24532,24644,40.51
24604,24688,23.496
24613,24726,45.056
24688,24730,27.232
24726,24732,3.822
24762,24734,4.837
24615,24734,49.182
24733,24734,50.722
24644,24736,40.698
24732,24739,2.985
24734,24739,92.383
24737,24741,5.606
24738,24741,19.46
24738,24742,66.102
24730,24746,5.338
24735,24748,3.88
24747,24748,33.241
24746,24749,2.552
24736,24751,3.185
24742,24752,97.846
24751,24752,3.634
24749,24755,35.639
24694,24754,29.59
24777,24754,6.082
24755,24754,23.433
24754,24757,20.074
24779,24759,5.471
24757,24759,42.218
24759,24761,34.045
24758,24764,9.299
24761,24764,16.853
24769,24771,51.668
24773,24771,101.61
24777,24778,12.382
24779,24778,49.968
24765,24785,4.704
24783,24785,4.795
24769,24787,3.692
24784,24787,44.22
24784,24788,2.37
24785,24788,4.694
24787,24792,51.636
24792,24797,50.745
24797,24799,39.85
24773,24801,4.637
24801,24802,47.351
24799,24804,5.13
24801,24804,6.131
24810,24806,12.259
24802,24806,130.893
24804,24812,3.872
24821,24829,4.785
24828,24831,30.256
24829,24831,6.611
24812,24857,20.127
24788,24872,38.827
11371,11365,9.914
10540,10529,10.944
11181,10529,69.976
10529,10512,15.16
10512,10496,11.567
10496,10498,15.301
10498,10460,11.844
10460,10414,16.353
10414,10345,11.362
10498,10199,39.62
10199,9970,27.254
9645,9813,19.418
9877,9813,5.324
9970,9802,16.261
9813,9802,67.32
10436,10334,18.262
10345,10313,3.236
10240,10313,8.62
10334,10313,4.049
10479,10507,3.198
10552,10507,4.996
10531,10493,4.107
10436,10493,8.543
10507,10493,8.305
10498,10499,23.59
10493,10499,31.885
17634,17603,3.712
17566,17603,4.732
17594,17601,0.945
17603,17601,14.053
